Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Diet_Type,Fitness_Goal,BMI_Category,Target_Label
18,Male,177.0,60.9,19.44,low,non-vegetarian,lose,Normal,lose_Normal
36,Female,163.7,70.2,26.2,low,vegetarian,gain,Overweight,gain_Overweight
34,Female,157.2,79.7,32.25,medium,non-vegetarian,gain,Obese,gain_Obese
40,Female,163.8,76.3,28.44,medium,vegan,lose,Overweight,lose_Overweight
44,Female,156.1,63.4,26.02,low,non-vegetarian,gain,Overweight,gain_Overweight
18,Male,172.2,64.4,21.72,medium,vegan,maintain,Normal,maintain_Normal
53,Female,182.3,64.0,19.26,medium,non-vegetarian,maintain,Normal,maintain_Normal
33,Male,167.2,84.0,30.05,high,non-vegetarian,gain,Obese,gain_Obese
53,Male,150.8,43.6,19.17,high,vegetarian,gain,Normal,gain_Normal
42,Male,149.7,88.9,39.67,medium,vegetarian,lose,Obese,lose_Obese
32,Male,159.5,108.4,42.61,high,vegan,maintain,Obese,maintain_Obese
50,Male,159.4,72.8,28.65,high,vegetarian,lose,Overweight,lose_Overweight
24,Male,180.4,100.1,30.76,high,vegan,maintain,Obese,maintain_Obese
25,Male,185.6,88.1,25.58,medium,vegan,lose,Overweight,lose_Overweight
48,Male,175.2,78.9,25.7,medium,non-vegetarian,lose,Overweight,lose_Overweight
59,Male,172.8,61.7,20.66,low,non-vegetarian,gain,Normal,gain_Normal
31,Female,156.8,69.9,28.43,high,vegan,gain,Overweight,gain_Overweight
32,Male,163.3,63.2,23.7,low,non-vegetarian,gain,Normal,gain_Normal
18,Male,172.0,84.3,28.5,low,vegan,maintain,Overweight,maintain_Overweight
18,Female,165.9,92.2,33.5,medium,non-vegetarian,maintain,Obese,maintain_Obese
28,Female,153.6,67.1,28.44,medium,vegan,maintain,Overweight,maintain_Overweight
55,Male,157.8,42.0,16.87,medium,vegetarian,maintain,Underweight,maintain_Underweight
57,Female,164.2,68.2,25.3,medium,non-vegetarian,gain,Overweight,gain_Overweight
44,Male,180.1,79.5,24.51,low,vegetarian,maintain,Normal,maintain_Normal
35,Female,154.8,97.8,40.81,low,non-vegetarian,lose,Obese,lose_Obese
48,Male,177.2,78.7,25.06,high,vegan,gain,Overweight,gain_Overweight
26,Female,162.7,55.6,21.0,high,non-vegetarian,maintain,Normal,maintain_Normal
52,Male,161.3,86.3,33.17,high,non-vegetarian,maintain,Obese,maintain_Obese
49,Male,183.8,93.1,27.56,low,vegetarian,maintain,Overweight,maintain_Overweight
44,Male,160.1,53.2,20.76,high,non-vegetarian,maintain,Normal,maintain_Normal
36,Female,166.4,43.5,15.71,medium,vegetarian,gain,Underweight,gain_Underweight
59,Male,168.2,67.8,23.97,low,non-vegetarian,maintain,Normal,maintain_Normal
32,Male,160.3,46.1,17.94,high,non-vegetarian,lose,Underweight,lose_Underweight
52,Female,170.1,62.0,21.43,medium,vegetarian,gain,Normal,gain_Normal
46,Female,153.3,26.9,11.45,medium,non-vegetarian,lose,Underweight,lose_Underweight
32,Male,164.7,96.6,35.61,high,vegetarian,lose,Obese,lose_Obese
51,Male,181.6,63.1,19.13,medium,vegan,lose,Normal,lose_Normal
30,Male,159.0,77.0,30.46,medium,vegetarian,lose,Obese,lose_Obese
32,Female,155.0,74.5,31.01,high,non-vegetarian,gain,Obese,gain_Obese
43,Female,172.7,88.4,29.64,low,vegan,lose,Overweight,lose_Overweight
57,Male,164.0,66.9,24.87,medium,vegetarian,maintain,Normal,maintain_Normal
19,Female,156.2,57.6,23.61,medium,non-vegetarian,lose,Normal,lose_Normal
20,Female,162.7,75.5,28.52,low,vegan,gain,Overweight,gain_Overweight
38,Female,174.1,58.0,19.14,low,vegetarian,maintain,Normal,maintain_Normal
18,Female,179.9,65.9,20.36,low,vegetarian,lose,Normal,lose_Normal
47,Male,164.8,58.8,21.65,high,vegetarian,gain,Normal,gain_Normal
18,Male,140.8,83.3,42.02,high,vegetarian,lose,Obese,lose_Obese
53,Male,172.4,65.8,22.14,low,non-vegetarian,gain,Normal,gain_Normal
39,Female,165.7,77.7,28.3,high,vegan,lose,Overweight,lose_Overweight
44,Female,149.4,62.1,27.82,medium,vegan,maintain,Overweight,maintain_Overweight
19,Male,172.9,51.2,17.13,high,vegetarian,lose,Underweight,lose_Underweight
29,Male,167.9,49.7,17.63,high,vegetarian,gain,Underweight,gain_Underweight
34,Female,169.7,69.5,24.13,low,vegetarian,maintain,Normal,maintain_Normal
20,Female,148.8,87.5,39.52,low,vegan,lose,Obese,lose_Obese
54,Male,157.7,57.8,23.24,high,vegan,maintain,Normal,maintain_Normal
58,Female,167.0,87.2,31.27,high,non-vegetarian,maintain,Obese,maintain_Obese
48,Female,154.8,70.9,29.59,medium,non-vegetarian,gain,Overweight,gain_Overweight
33,Male,169.3,80.4,28.05,medium,vegan,maintain,Overweight,maintain_Overweight
37,Male,166.8,64.5,23.18,low,vegan,maintain,Normal,maintain_Normal
19,Female,156.7,71.3,29.04,high,vegan,gain,Overweight,gain_Overweight
37,Male,154.3,26.2,11.0,high,vegan,lose,Underweight,lose_Underweight
33,Female,169.4,83.6,29.13,medium,non-vegetarian,lose,Overweight,lose_Overweight
23,Male,141.4,54.9,27.46,medium,vegan,maintain,Overweight,maintain_Overweight
56,Male,171.2,100.9,34.43,medium,vegetarian,gain,Obese,gain_Obese
43,Male,165.2,59.1,21.66,low,vegan,gain,Normal,gain_Normal
47,Female,163.2,90.6,34.02,low,vegan,maintain,Obese,maintain_Obese
54,Male,158.5,58.0,23.09,medium,vegetarian,lose,Normal,lose_Normal
52,Male,160.2,55.7,21.7,medium,non-vegetarian,maintain,Normal,maintain_Normal
52,Male,166.2,94.4,34.18,high,vegan,lose,Obese,lose_Obese
45,Male,168.2,66.2,23.4,high,vegan,gain,Normal,gain_Normal
34,Male,162.1,46.6,17.73,low,vegetarian,lose,Underweight,lose_Underweight
34,Male,173.8,68.8,22.78,medium,vegetarian,lose,Normal,lose_Normal
24,Male,163.2,117.9,44.27,medium,non-vegetarian,maintain,Obese,maintain_Obese
29,Male,168.0,58.7,20.8,low,vegetarian,maintain,Normal,maintain_Normal
33,Male,160.7,87.2,33.77,high,vegan,gain,Obese,gain_Obese
42,Female,166.1,48.4,17.54,high,vegan,lose,Underweight,lose_Underweight
43,Male,174.2,60.0,19.77,low,non-vegetarian,maintain,Normal,maintain_Normal
48,Female,183.7,86.2,25.54,high,vegan,lose,Overweight,lose_Overweight
20,Female,160.5,89.2,34.63,medium,non-vegetarian,gain,Obese,gain_Obese
37,Female,165.7,82.8,30.16,high,vegetarian,gain,Obese,gain_Obese
43,Female,169.8,57.3,19.87,medium,vegan,maintain,Normal,maintain_Normal
36,Male,158.6,85.4,33.95,low,vegetarian,maintain,Obese,maintain_Obese
52,Male,161.7,63.9,24.44,medium,vegan,lose,Normal,lose_Normal
33,Male,155.4,76.4,31.64,high,non-vegetarian,maintain,Obese,maintain_Obese
23,Female,185.6,54.0,15.68,medium,non-vegetarian,gain,Underweight,gain_Underweight
46,Female,165.2,91.2,33.42,medium,vegetarian,maintain,Obese,maintain_Obese
45,Female,164.2,76.8,28.48,high,vegan,lose,Overweight,lose_Overweight
41,Male,154.4,76.4,32.05,high,non-vegetarian,lose,Obese,lose_Obese
36,Male,163.1,84.8,31.88,high,non-vegetarian,gain,Obese,gain_Obese
59,Male,176.9,108.8,34.77,high,vegetarian,lose,Obese,lose_Obese
57,Female,170.8,74.9,25.67,low,vegetarian,lose,Overweight,lose_Overweight
50,Female,166.9,64.7,23.23,low,non-vegetarian,gain,Normal,gain_Normal
52,Male,168.4,65.6,23.13,low,non-vegetarian,lose,Normal,lose_Normal
30,Female,166.7,89.8,32.32,medium,vegetarian,gain,Obese,gain_Obese
52,Female,154.9,87.1,36.3,low,vegetarian,lose,Obese,lose_Obese
54,Male,178.2,68.2,21.48,low,vegetarian,gain,Normal,gain_Normal
21,Female,143.8,60.9,29.45,medium,non-vegetarian,gain,Overweight,gain_Overweight
21,Male,178.0,69.7,22.0,low,vegan,gain,Normal,gain_Normal
25,Male,155.0,62.4,25.97,high,vegan,lose,Overweight,lose_Overweight
57,Male,173.4,78.2,26.01,medium,vegetarian,lose,Overweight,lose_Overweight
55,Male,162.6,64.5,24.4,high,vegetarian,maintain,Normal,maintain_Normal
30,Male,161.1,56.2,21.65,medium,non-vegetarian,maintain,Normal,maintain_Normal
51,Female,181.2,65.2,19.86,low,non-vegetarian,maintain,Normal,maintain_Normal
38,Female,177.2,92.8,29.55,medium,non-vegetarian,gain,Overweight,gain_Overweight
42,Male,175.0,63.5,20.73,low,non-vegetarian,lose,Normal,lose_Normal
52,Female,169.0,69.6,24.37,low,vegetarian,lose,Normal,lose_Normal
24,Male,156.0,74.9,30.78,medium,non-vegetarian,maintain,Obese,maintain_Obese
33,Male,153.2,87.8,37.41,high,vegetarian,lose,Obese,lose_Obese
19,Female,160.4,73.0,28.37,medium,non-vegetarian,maintain,Overweight,maintain_Overweight
56,Female,167.8,66.1,23.48,low,vegan,gain,Normal,gain_Normal
31,Male,170.9,62.9,21.54,low,non-vegetarian,lose,Normal,lose_Normal
19,Male,173.7,49.8,16.51,medium,vegetarian,maintain,Underweight,maintain_Underweight
49,Male,166.3,99.1,35.83,low,non-vegetarian,maintain,Obese,maintain_Obese
34,Male,155.0,59.8,24.89,medium,non-vegetarian,maintain,Normal,maintain_Normal
52,Male,170.1,72.7,25.13,low,vegetarian,maintain,Overweight,maintain_Overweight
18,Female,168.5,77.3,27.23,medium,vegan,gain,Overweight,gain_Overweight
52,Female,171.3,86.6,29.51,low,vegetarian,maintain,Overweight,maintain_Overweight
46,Male,169.1,66.4,23.22,medium,vegan,maintain,Normal,maintain_Normal
58,Female,171.7,98.5,33.41,medium,vegan,gain,Obese,gain_Obese
45,Female,163.7,55.4,20.67,medium,vegan,lose,Normal,lose_Normal
46,Male,176.1,68.2,21.99,medium,vegan,lose,Normal,lose_Normal
58,Female,143.3,82.7,40.27,medium,vegan,gain,Obese,gain_Obese
34,Female,159.6,68.6,26.93,low,vegan,gain,Overweight,gain_Overweight
18,Male,168.3,72.9,25.74,medium,non-vegetarian,lose,Overweight,lose_Overweight
57,Male,172.1,63.5,21.44,low,non-vegetarian,maintain,Normal,maintain_Normal
32,Male,170.1,66.1,22.85,low,non-vegetarian,gain,Normal,gain_Normal
53,Male,172.4,79.2,26.65,medium,vegetarian,lose,Overweight,lose_Overweight
38,Male,155.6,86.3,35.64,medium,vegetarian,maintain,Obese,maintain_Obese
36,Female,159.6,82.1,32.23,low,vegan,gain,Obese,gain_Obese
48,Female,168.7,97.6,34.29,medium,vegetarian,lose,Obese,lose_Obese
37,Male,162.8,64.8,24.45,low,vegetarian,gain,Normal,gain_Normal
56,Female,164.8,65.5,24.12,high,non-vegetarian,lose,Normal,lose_Normal
57,Male,173.0,45.8,15.3,medium,vegetarian,gain,Underweight,gain_Underweight
33,Female,154.5,54.0,22.62,high,non-vegetarian,gain,Normal,gain_Normal
59,Male,174.5,95.7,31.43,medium,vegetarian,lose,Obese,lose_Obese
33,Female,164.0,67.5,25.1,high,vegan,lose,Overweight,lose_Overweight
40,Female,165.7,87.4,31.83,medium,non-vegetarian,gain,Obese,gain_Obese
55,Male,155.7,73.6,30.36,high,vegan,lose,Obese,lose_Obese
33,Female,174.8,77.5,25.36,high,non-vegetarian,gain,Overweight,gain_Overweight
40,Female,166.9,85.0,30.51,low,non-vegetarian,maintain,Obese,maintain_Obese
43,Male,138.0,80.2,42.11,high,vegetarian,lose,Obese,lose_Obese
34,Female,158.5,42.5,16.92,high,non-vegetarian,gain,Underweight,gain_Underweight
26,Female,170.1,90.6,31.31,medium,vegan,maintain,Obese,maintain_Obese
34,Female,163.6,84.3,31.5,low,vegan,maintain,Obese,maintain_Obese
21,Female,181.1,89.7,27.35,low,vegetarian,maintain,Overweight,maintain_Overweight
43,Female,181.4,81.1,24.65,high,vegan,lose,Normal,lose_Normal
55,Female,165.8,46.0,16.73,low,non-vegetarian,gain,Underweight,gain_Underweight
46,Female,162.5,57.4,21.74,low,vegetarian,maintain,Normal,maintain_Normal
30,Male,186.7,67.4,19.34,high,non-vegetarian,lose,Normal,lose_Normal
37,Female,166.2,78.3,28.35,high,vegetarian,maintain,Overweight,maintain_Overweight
40,Male,165.4,95.4,34.87,low,non-vegetarian,lose,Obese,lose_Obese
27,Male,158.8,72.9,28.91,low,vegetarian,gain,Overweight,gain_Overweight
55,Female,157.6,50.2,20.21,medium,vegan,lose,Normal,lose_Normal
26,Female,158.9,69.4,27.49,low,vegan,gain,Overweight,gain_Overweight
57,Female,160.7,59.6,23.08,low,vegan,lose,Normal,lose_Normal
29,Male,150.9,68.8,30.21,low,vegan,gain,Obese,gain_Obese
57,Female,150.0,81.4,36.18,low,non-vegetarian,lose,Obese,lose_Obese
58,Male,165.8,48.1,17.5,medium,non-vegetarian,maintain,Underweight,maintain_Underweight
53,Male,161.9,58.7,22.39,medium,vegan,lose,Normal,lose_Normal
41,Female,168.2,90.1,31.85,high,vegan,lose,Obese,lose_Obese
39,Male,146.2,71.7,33.54,low,vegetarian,lose,Obese,lose_Obese
31,Female,163.4,80.1,30.0,low,vegan,gain,Obese,gain_Obese
29,Female,167.1,58.7,21.02,medium,non-vegetarian,lose,Normal,lose_Normal
18,Female,161.8,58.1,22.19,low,vegetarian,maintain,Normal,maintain_Normal
45,Male,175.8,70.3,22.75,low,vegetarian,maintain,Normal,maintain_Normal
20,Female,184.0,69.1,20.41,medium,vegetarian,gain,Normal,gain_Normal
57,Female,157.9,47.3,18.97,medium,non-vegetarian,lose,Normal,lose_Normal
30,Male,147.0,46.2,21.38,medium,vegan,gain,Normal,gain_Normal
54,Female,167.7,77.6,27.59,medium,vegetarian,gain,Overweight,gain_Overweight
19,Female,149.2,83.4,37.47,high,vegan,lose,Obese,lose_Obese
19,Female,160.2,72.2,28.13,medium,non-vegetarian,gain,Overweight,gain_Overweight
21,Male,181.1,83.5,25.46,medium,vegetarian,lose,Overweight,lose_Overweight
43,Male,162.3,56.6,21.49,medium,vegan,lose,Normal,lose_Normal
28,Male,143.5,59.2,28.75,medium,vegan,maintain,Overweight,maintain_Overweight
27,Female,162.9,55.2,20.8,high,non-vegetarian,lose,Normal,lose_Normal
22,Female,163.7,71.2,26.57,medium,vegan,gain,Overweight,gain_Overweight
41,Male,162.8,60.2,22.71,high,vegetarian,gain,Normal,gain_Normal
28,Male,166.7,76.6,27.56,low,vegan,lose,Overweight,lose_Overweight
50,Male,154.1,91.2,38.41,medium,non-vegetarian,maintain,Obese,maintain_Obese
22,Female,164.0,70.3,26.14,high,vegan,lose,Overweight,lose_Overweight
29,Male,172.1,73.5,24.82,medium,vegetarian,gain,Normal,gain_Normal
34,Female,174.5,74.3,24.4,high,vegan,lose,Normal,lose_Normal
21,Male,158.9,75.4,29.86,medium,non-vegetarian,lose,Overweight,lose_Overweight
29,Male,153.6,71.6,30.35,low,vegan,gain,Obese,gain_Obese
21,Male,164.7,66.9,24.66,high,non-vegetarian,gain,Normal,gain_Normal
28,Male,163.7,41.8,15.6,medium,vegan,lose,Underweight,lose_Underweight
34,Male,159.5,71.4,28.07,high,vegan,maintain,Overweight,maintain_Overweight
42,Male,166.6,54.6,19.67,low,vegan,lose,Normal,lose_Normal
43,Male,177.7,57.0,18.05,high,vegetarian,lose,Underweight,lose_Underweight
40,Female,174.7,76.4,25.03,medium,vegetarian,gain,Overweight,gain_Overweight
37,Male,158.5,96.6,38.45,low,vegan,maintain,Obese,maintain_Obese
49,Male,153.1,83.8,35.75,medium,vegan,maintain,Obese,maintain_Obese
47,Male,175.0,59.9,19.56,medium,non-vegetarian,lose,Normal,lose_Normal
46,Female,178.9,66.2,20.68,low,vegetarian,maintain,Normal,maintain_Normal
19,Female,167.9,73.9,26.21,low,vegetarian,gain,Overweight,gain_Overweight
57,Female,163.7,82.2,30.67,low,non-vegetarian,maintain,Obese,maintain_Obese
41,Male,172.9,43.8,14.65,low,vegetarian,maintain,Underweight,maintain_Underweight
50,Female,178.0,45.1,14.23,medium,non-vegetarian,maintain,Underweight,maintain_Underweight
42,Male,175.3,86.9,28.28,medium,vegan,lose,Overweight,lose_Overweight
55,Female,154.1,63.8,26.87,high,vegan,lose,Overweight,lose_Overweight
40,Male,153.9,66.8,28.2,high,non-vegetarian,maintain,Overweight,maintain_Overweight
18,Male,161.9,81.7,31.17,high,vegan,gain,Obese,gain_Obese
50,Female,178.1,90.9,28.66,medium,non-vegetarian,gain,Overweight,gain_Overweight
42,Female,159.4,66.9,26.33,high,non-vegetarian,gain,Overweight,gain_Overweight
32,Male,148.2,57.9,26.36,high,vegetarian,gain,Overweight,gain_Overweight
47,Male,174.6,94.2,30.9,medium,non-vegetarian,gain,Obese,gain_Obese
36,Female,152.7,61.1,26.2,high,vegetarian,maintain,Overweight,maintain_Overweight
20,Male,164.7,74.2,27.35,high,non-vegetarian,gain,Overweight,gain_Overweight
57,Female,156.9,76.4,31.03,low,vegan,maintain,Obese,maintain_Obese
49,Female,160.3,69.8,27.16,low,non-vegetarian,lose,Overweight,lose_Overweight
48,Female,170.5,70.1,24.11,medium,non-vegetarian,maintain,Normal,maintain_Normal
58,Female,160.6,68.4,26.52,medium,vegan,lose,Overweight,lose_Overweight
56,Female,164.1,64.4,23.91,low,vegan,lose,Normal,lose_Normal
48,Female,162.4,94.0,35.64,high,vegan,gain,Obese,gain_Obese
27,Male,170.6,65.6,22.54,high,vegan,lose,Normal,lose_Normal
43,Female,172.0,65.0,21.97,high,vegetarian,maintain,Normal,maintain_Normal
39,Female,176.7,75.5,24.18,low,vegetarian,gain,Normal,gain_Normal
50,Male,163.9,76.7,28.55,low,vegan,gain,Overweight,gain_Overweight
27,Female,149.3,53.1,23.82,medium,non-vegetarian,maintain,Normal,maintain_Normal
40,Female,153.1,72.1,30.76,high,non-vegetarian,lose,Obese,lose_Obese
40,Male,182.3,103.5,31.14,medium,non-vegetarian,lose,Obese,lose_Obese
40,Female,171.4,77.5,26.38,high,non-vegetarian,gain,Overweight,gain_Overweight
21,Male,147.0,61.9,28.65,high,vegan,maintain,Overweight,maintain_Overweight
23,Male,157.1,60.7,24.59,high,vegan,gain,Normal,gain_Normal
48,Female,163.3,62.9,23.59,medium,vegan,gain,Normal,gain_Normal
24,Female,145.2,81.2,38.51,high,vegetarian,lose,Obese,lose_Obese
38,Female,154.3,73.6,30.91,low,non-vegetarian,lose,Obese,lose_Obese
50,Male,185.7,56.2,16.3,medium,vegetarian,lose,Underweight,lose_Underweight
36,Male,139.7,65.7,33.66,low,non-vegetarian,lose,Obese,lose_Obese
45,Male,176.0,99.4,32.09,low,non-vegetarian,gain,Obese,gain_Obese
27,Female,152.7,77.5,33.24,medium,vegetarian,lose,Obese,lose_Obese
34,Female,160.3,68.4,26.62,high,non-vegetarian,gain,Overweight,gain_Overweight
51,Female,191.4,47.5,12.97,high,vegan,lose,Underweight,lose_Underweight
36,Female,167.5,77.0,27.44,high,non-vegetarian,lose,Overweight,lose_Overweight
24,Female,175.9,71.5,23.11,low,vegan,lose,Normal,lose_Normal
32,Male,168.1,64.1,22.68,medium,vegetarian,lose,Normal,lose_Normal
25,Female,167.7,64.9,23.08,medium,non-vegetarian,maintain,Normal,maintain_Normal
43,Female,171.2,64.5,22.01,medium,non-vegetarian,maintain,Normal,maintain_Normal
32,Female,168.8,69.6,24.43,high,non-vegetarian,maintain,Normal,maintain_Normal
49,Male,176.3,69.2,22.26,low,non-vegetarian,lose,Normal,lose_Normal
19,Female,147.3,88.9,40.97,high,vegetarian,gain,Obese,gain_Obese
23,Female,155.9,60.2,24.77,high,vegetarian,maintain,Normal,maintain_Normal
23,Female,159.0,90.6,35.84,low,vegan,maintain,Obese,maintain_Obese
41,Female,143.6,117.1,56.79,high,vegan,maintain,Obese,maintain_Obese
33,Female,175.6,73.3,23.77,medium,non-vegetarian,maintain,Normal,maintain_Normal
47,Male,164.5,74.3,27.46,medium,vegetarian,maintain,Overweight,maintain_Overweight
45,Male,170.2,79.7,27.51,high,non-vegetarian,gain,Overweight,gain_Overweight
42,Male,170.6,71.3,24.5,high,vegan,lose,Normal,lose_Normal
19,Female,163.0,67.7,25.48,high,non-vegetarian,maintain,Overweight,maintain_Overweight
36,Female,163.1,87.0,32.7,medium,vegan,gain,Obese,gain_Obese
42,Male,170.9,25.9,8.87,medium,vegan,maintain,Underweight,maintain_Underweight
43,Male,171.6,72.9,24.76,high,vegetarian,maintain,Normal,maintain_Normal
50,Female,164.8,64.2,23.64,low,vegan,lose,Normal,lose_Normal
33,Male,176.2,84.2,27.12,low,non-vegetarian,lose,Overweight,lose_Overweight
47,Male,157.3,76.1,30.76,high,vegan,gain,Obese,gain_Obese
21,Female,155.3,49.3,20.44,medium,vegan,lose,Normal,lose_Normal
22,Female,158.7,82.9,32.92,high,vegetarian,lose,Obese,lose_Obese
34,Female,174.5,77.7,25.52,low,vegan,maintain,Overweight,maintain_Overweight
44,Female,172.3,77.7,26.17,low,vegetarian,maintain,Overweight,maintain_Overweight
40,Female,158.6,76.5,30.41,high,vegan,maintain,Obese,maintain_Obese
29,Female,173.0,81.3,27.16,low,vegan,gain,Overweight,gain_Overweight
28,Female,176.9,80.6,25.76,high,vegan,gain,Overweight,gain_Overweight
52,Female,168.5,86.1,30.33,medium,non-vegetarian,gain,Obese,gain_Obese
38,Female,164.7,56.8,20.94,low,vegan,gain,Normal,gain_Normal
58,Male,163.4,58.8,22.02,low,vegetarian,gain,Normal,gain_Normal
56,Female,158.2,67.8,27.09,low,vegan,gain,Overweight,gain_Overweight
25,Male,157.1,65.4,26.5,high,vegetarian,lose,Overweight,lose_Overweight
28,Female,146.1,73.2,34.29,high,vegetarian,gain,Obese,gain_Obese
52,Male,165.0,57.7,21.19,high,vegan,gain,Normal,gain_Normal
24,Male,171.6,84.1,28.56,medium,vegetarian,gain,Overweight,gain_Overweight
21,Male,148.9,58.6,26.43,high,vegetarian,lose,Overweight,lose_Overweight
54,Male,157.3,55.9,22.59,medium,vegan,gain,Normal,gain_Normal
38,Male,173.3,67.1,22.34,low,vegan,lose,Normal,lose_Normal
50,Male,162.4,39.9,15.13,medium,vegan,gain,Underweight,gain_Underweight
37,Female,171.4,51.4,17.5,high,vegan,lose,Underweight,lose_Underweight
41,Male,165.6,74.2,27.06,high,vegan,maintain,Overweight,maintain_Overweight
42,Female,178.6,50.4,15.8,high,vegetarian,maintain,Underweight,maintain_Underweight
38,Male,134.8,72.8,40.06,high,vegan,maintain,Obese,maintain_Obese
46,Male,183.0,88.6,26.46,high,vegan,maintain,Overweight,maintain_Overweight
59,Female,167.1,62.6,22.42,high,non-vegetarian,lose,Normal,lose_Normal
59,Male,173.1,55.4,18.49,high,vegetarian,gain,Underweight,gain_Underweight
47,Female,169.8,77.6,26.91,low,vegetarian,lose,Overweight,lose_Overweight
38,Male,175.6,111.4,36.13,high,vegetarian,maintain,Obese,maintain_Obese
36,Female,168.9,62.4,21.87,low,vegan,maintain,Normal,maintain_Normal
50,Male,164.7,43.5,16.04,low,vegan,lose,Underweight,lose_Underweight
36,Male,158.1,63.9,25.56,medium,vegan,gain,Overweight,gain_Overweight
42,Female,159.8,72.3,28.31,medium,vegan,gain,Overweight,gain_Overweight
18,Male,156.8,86.8,35.3,medium,non-vegetarian,gain,Obese,gain_Obese
34,Female,165.0,69.9,25.67,high,vegan,gain,Overweight,gain_Overweight
27,Female,161.7,72.3,27.65,high,non-vegetarian,maintain,Overweight,maintain_Overweight
20,Male,173.3,57.0,18.98,high,vegan,lose,Normal,lose_Normal
21,Male,158.4,65.4,26.07,low,vegetarian,lose,Overweight,lose_Overweight
55,Female,151.5,57.7,25.14,high,vegan,lose,Overweight,lose_Overweight
52,Male,160.2,83.1,32.38,medium,non-vegetarian,lose,Obese,lose_Obese
54,Male,167.6,72.9,25.95,low,vegetarian,maintain,Overweight,maintain_Overweight
24,Male,173.5,67.9,22.56,medium,non-vegetarian,maintain,Normal,maintain_Normal
23,Female,168.9,68.5,24.01,medium,non-vegetarian,maintain,Normal,maintain_Normal
23,Male,167.7,61.3,21.8,low,vegan,maintain,Normal,maintain_Normal
26,Female,140.6,68.0,34.4,high,vegetarian,maintain,Obese,maintain_Obese
58,Male,179.2,83.9,26.13,low,non-vegetarian,lose,Overweight,lose_Overweight
39,Male,174.7,88.5,29.0,medium,vegetarian,lose,Overweight,lose_Overweight
43,Male,165.9,73.0,26.52,high,vegan,lose,Overweight,lose_Overweight
52,Male,158.8,65.3,25.89,high,non-vegetarian,gain,Overweight,gain_Overweight
58,Male,171.2,88.1,30.06,medium,vegan,gain,Obese,gain_Obese
50,Female,163.6,63.2,23.61,high,vegetarian,gain,Normal,gain_Normal
44,Female,165.0,79.0,29.02,low,non-vegetarian,gain,Overweight,gain_Overweight
47,Male,150.6,35.6,15.7,medium,vegetarian,gain,Underweight,gain_Underweight
59,Female,159.5,51.7,20.32,low,non-vegetarian,lose,Normal,lose_Normal
50,Male,159.9,67.8,26.52,high,non-vegetarian,maintain,Overweight,maintain_Overweight
54,Female,160.5,91.8,35.64,medium,non-vegetarian,lose,Obese,lose_Obese
49,Male,168.3,74.5,26.3,medium,non-vegetarian,lose,Overweight,lose_Overweight
48,Female,171.2,52.9,18.05,low,vegetarian,lose,Underweight,lose_Underweight
25,Female,175.4,68.9,22.4,low,vegan,lose,Normal,lose_Normal
51,Female,171.7,53.9,18.28,medium,vegan,lose,Underweight,lose_Underweight
53,Male,149.5,82.3,36.82,medium,non-vegetarian,lose,Obese,lose_Obese
19,Male,168.8,56.5,19.83,high,vegan,lose,Normal,lose_Normal
51,Female,156.3,86.9,35.57,medium,vegetarian,maintain,Obese,maintain_Obese
29,Female,153.1,94.6,40.36,high,non-vegetarian,maintain,Obese,maintain_Obese
19,Male,156.0,79.6,32.71,high,vegetarian,gain,Obese,gain_Obese
21,Female,161.7,79.0,30.21,medium,non-vegetarian,gain,Obese,gain_Obese
44,Male,159.6,67.6,26.54,low,vegetarian,lose,Overweight,lose_Overweight
55,Male,165.4,55.0,20.1,high,vegan,gain,Normal,gain_Normal
40,Male,172.4,62.3,20.96,high,vegan,gain,Normal,gain_Normal
21,Male,162.7,55.1,20.82,low,vegetarian,lose,Normal,lose_Normal
52,Female,139.4,67.1,34.53,high,vegan,maintain,Obese,maintain_Obese
38,Male,189.1,81.8,22.88,high,vegetarian,gain,Normal,gain_Normal
22,Female,164.8,66.1,24.34,high,vegetarian,gain,Normal,gain_Normal
18,Male,165.2,78.2,28.65,high,non-vegetarian,lose,Overweight,lose_Overweight
41,Female,153.2,86.7,36.94,high,non-vegetarian,lose,Obese,lose_Obese
31,Female,172.2,80.8,27.25,medium,non-vegetarian,gain,Overweight,gain_Overweight
50,Male,169.4,70.3,24.5,medium,vegetarian,lose,Normal,lose_Normal
39,Female,171.7,78.9,26.76,high,non-vegetarian,lose,Overweight,lose_Overweight
18,Male,161.5,61.4,23.54,medium,vegan,lose,Normal,lose_Normal
54,Female,166.0,93.2,33.82,medium,vegetarian,maintain,Obese,maintain_Obese
18,Male,152.6,48.0,20.61,high,non-vegetarian,gain,Normal,gain_Normal
54,Male,166.6,70.8,25.51,medium,vegan,lose,Overweight,lose_Overweight
57,Male,166.7,73.7,26.52,high,non-vegetarian,gain,Overweight,gain_Overweight
19,Male,162.8,92.3,34.83,low,vegan,lose,Obese,lose_Obese
48,Female,149.0,57.6,25.94,high,vegetarian,gain,Overweight,gain_Overweight
49,Male,164.0,45.4,16.88,low,vegan,maintain,Underweight,maintain_Underweight
54,Male,163.2,94.9,35.63,high,vegetarian,gain,Obese,gain_Obese
36,Female,165.2,73.5,26.93,high,vegan,maintain,Overweight,maintain_Overweight
